Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
LUKEINTERNATIONAL,DHIS2-Android-Tracker-App,0.0,https://github.com/LUKEINTERNATIONAL/DHIS2-Android-Tracker-App,2019-03-18,4.0,0.0,"['Java', 'Shell']","{'Java': 0.9995917818406209, 'Shell': 0.00040821815937912867}"
juanpabloxk,Collece2.0-TeamBE,0.0,https://github.com/juanpabloxk/Collece2.0-TeamBE,2020-10-16,1.0,0.0,[],{}
vkutuyev,CodeBoard,0.0,https://github.com/vkutuyev/CodeBoard,2016-06-27,2.0,0.0,"['JavaScript', 'CSS', 'HTML']","{'JavaScript': 0.6598975269182503, 'CSS': 0.19432446111500143, 'HTML': 0.14577801196674825}"
mananrajn,CuckooSearch,0.0,https://github.com/mananrajn/CuckooSearch,2016-12-31,0.0,0.0,[],{}
Globalittechnology1,Web-development,0.0,https://github.com/Globalittechnology1/Web-development,2015-07-07,1.0,0.0,[],{}
tititesfu,Decentralized-Freelance-Marketplace,0.0,https://github.com/tititesfu/Decentralized-Freelance-Marketplace,2023-08-16,1.0,0.0,"['CSS', 'HTML', 'JavaScript']","{'CSS': 0.6351032448377582, 'HTML': 0.3647492625368732, 'JavaScript': 0.00014749262536873156}"
Evil-Operative,BoA-UPatch,0.0,https://github.com/Evil-Operative/BoA-UPatch,2021-12-04,1.0,0.0,[],{}
Ankita20891,Movie_Recommendation_System,0.0,https://github.com/Ankita20891/Movie_Recommendation_System,2022-01-07,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
maestroh1git,simple_shell,0.0,https://github.com/maestroh1git/simple_shell,2022-11-09,1.0,0.0,['C'],{'C': 1.0}
kvs2000,Multilingual-Toxic-Comment-Classification,0.0,https://github.com/kvs2000/Multilingual-Toxic-Comment-Classification,2020-08-04,1.0,2.0,"['Jupyter Notebook', 'C++']","{'Jupyter Notebook': 0.9950898709147059, 'C++': 0.004910129085294052}"
HarshSachan007,Netflix-Recommendation-System,0.0,https://github.com/HarshSachan007/Netflix-Recommendation-System,2023-08-25,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
pao11901,last-digit,0.0,https://github.com/pao11901/last-digit,2019-01-12,0.0,0.0,[],{}
health20houston,marshealth,0.0,https://github.com/health20houston/marshealth,2013-09-18,1.0,0.0,[],{}
odrion413,octo-eureka,0.0,https://github.com/odrion413/octo-eureka,2019-07-24,1.0,0.0,[],{}
vivek8031,Recommender-System,0.0,https://github.com/vivek8031/Recommender-System,2023-06-29,1.0,0.0,"['Jupyter Notebook', 'Python']","{'Jupyter Notebook': 0.9599011160795434, 'Python': 0.04009888392045661}"
calvintangtang,BathroomsAtBerkeley,0.0,https://github.com/calvintangtang/BathroomsAtBerkeley,2018-11-03,3.0,0.0,"['Swift', 'Ruby']","{'Swift': 0.9930538922155688, 'Ruby': 0.006946107784431138}"
vhoyer,sensory-evolution,0.0,https://github.com/vhoyer/sensory-evolution,2022-08-14,1.0,0.0,"['JavaScript', 'Vue', 'CSS', 'HTML']","{'JavaScript': 0.6253975297685083, 'Vue': 0.29324754086236227, 'CSS': 0.05007026107536425, 'HTML': 0.03128466829376526}"
Ritesh6997,fabbag_2.0,1.0,https://github.com/Ritesh6997/fabbag_2.0,2022-01-23,1.0,0.0,['HTML'],{'HTML': 1.0}
BAGLAT,Movie-Recommendation-Using-Pyspark,0.0,https://github.com/BAGLAT/Movie-Recommendation-Using-Pyspark,2020-06-03,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
mmyd,Restaurant-recommendation-system,0.0,https://github.com/mmyd/Restaurant-recommendation-system,2020-06-09,1.0,0.0,['Python'],{'Python': 1.0}
lizbethdiazalcantar,Java-Tic-Tac-Toe-,0.0,https://github.com/lizbethdiazalcantar/Java-Tic-Tac-Toe-,2020-03-05,1.0,0.0,"['Java', 'HTML']","{'Java': 0.9453828828828829, 'HTML': 0.054617117117117114}"
paribadre,Recommendation-System-for-Yelp-Businesses,0.0,https://github.com/paribadre/Recommendation-System-for-Yelp-Businesses,2020-05-14,1.0,0.0,['Python'],{'Python': 1.0}
suy1968,Movie_Recommendation-Engine,0.0,https://github.com/suy1968/Movie_Recommendation-Engine,2021-06-30,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
Yogesh2878,Hacknovate-4.0,0.0,https://github.com/Yogesh2878/Hacknovate-4.0,2023-10-16,1.0,0.0,['Python'],{'Python': 1.0}
safia-faiz02,House-Price-Prediction-,0.0,https://github.com/safia-faiz02/House-Price-Prediction-,2023-07-20,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
msayan36,SWE-Project---Collaborative-Internal-Job-Portal,0.0,https://github.com/msayan36/SWE-Project---Collaborative-Internal-Job-Portal,2022-08-18,1.0,0.0,[],{}
daleathan,npdm,0.0,https://github.com/daleathan/npdm,2014-07-05,1.0,0.0,[],{}
for-professional-work-j,KNIME_Deep_Learning-Internship-,0.0,https://github.com/for-professional-work-j/KNIME_Deep_Learning-Internship-,2023-07-25,1.0,0.0,[],{}
