Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
Significant-Gravitas,AutoGPT,152367,https://github.com/Significant-Gravitas/AutoGPT,2023-03-16,30,35843,"['JavaScript', 'Python', 'Jupyter Notebook', 'Dart', 'C++', 'TypeScript', 'CMake', 'HTML', 'Shell', 'Ruby', 'Dockerfile', 'Jinja', 'Swift', 'C', 'CSS', 'Batchfile', 'Kotlin', 'Objective-C']","{'JavaScript': 0.6714548633462324, 'Python': 0.19916256036579763, 'Jupyter Notebook': 0.08105002553913805, 'Dart': 0.03378439557840581, 'C++': 0.003862454465374388, 'TypeScript': 0.0035589865027675785, 'CMake': 0.003110876473200893, 'HTML': 0.0010773112672541742, 'Shell': 0.000648167985350414, 'Ruby': 0.0004622938582537431, 'Dockerfile': 0.00045256309206145954, 'Jinja': 0.00039549792083213556, 'Swift': 0.000393188925464475, 'C': 0.00023502274277973026, 'CSS': 0.00023023982380386207, 'Batchfile': 9.219488646587314e-05, 'Kotlin': 2.308995367660508e-05, 'Objective-C': 6.267273140792806e-06}"
ossu,computer-science,151115,https://github.com/ossu/computer-science,2014-05-04,5,19266,[],{}
jackfrued,Python-100-Days,141788,https://github.com/jackfrued/Python-100-Days,2018-03-01,7,50152,"['Python', 'HTML', 'Jupyter Notebook', 'Java', 'CSS', 'JavaScript']","{'Python': 0.3750171439332994, 'HTML': 0.33800671837481655, 'Jupyter Notebook': 0.2751811115819296, 'Java': 0.009578085242706919, 'CSS': 0.0013776557743837908, 'JavaScript': 0.000839285092863825}"
jlevy,the-art-of-command-line,140505,https://github.com/jlevy/the-art-of-command-line,2015-05-20,2,13858,[],{}
ytdl-org,youtube-dl,124326,https://github.com/ytdl-org/youtube-dl,2010-10-31,9,9468,"['Python', 'Shell', 'Makefile', 'ActionScript', 'Batchfile']","{'Python': 0.9968015033046645, 'Shell': 0.001408787236269052, 'Makefile': 0.000999179663080143, 'ActionScript': 0.0006890894228138918, 'Batchfile': 0.00010144037317237059}"
labuladong,fucking-algorithm,120695,https://github.com/labuladong/fucking-algorithm,2020-02-19,2,22947,['Markdown'],{'Markdown': 1.0}
practical-tutorials,project-based-learning,119856,https://github.com/practical-tutorials/project-based-learning,2017-04-12,1,16560,[],{}
Chalarangelo,30-seconds-of-code,116338,https://github.com/Chalarangelo/30-seconds-of-code,2017-11-29,3,11986,"['JavaScript', 'SCSS', 'Astro', 'Shell', 'TypeScript']","{'JavaScript': 0.7579559006823827, 'SCSS': 0.12510648218721138, 'Astro': 0.11238242124801606, 'Shell': 0.0033894961487074184, 'TypeScript': 0.0011656997336824454}"
golang,go,115503,https://github.com/golang/go,2014-08-19,30,17329,"['Go', 'Assembly', 'HTML', 'C', 'Shell', 'Perl', 'JavaScript', 'Python', 'Batchfile', 'Dockerfile', 'Awk', 'Makefile']","{'Go': 0.8822288109194693, 'Assembly': 0.05825031183765874, 'HTML': 0.054044232549074755, 'C': 0.002465136455945345, 'Shell': 0.0013426837589776577, 'Perl': 0.0006480549496498229, 'JavaScript': 0.000420979035310016, 'Python': 0.0003259139326206344, 'Batchfile': 0.00019835639838962067, 'Dockerfile': 5.750088297564203e-05, 'Awk': 9.27766129044063e-06, 'Makefile': 8.74161863810406e-06}"
goldbergyoni,nodebestpractices,93524,https://github.com/goldbergyoni/nodebestpractices,2017-09-15,30,9672,"['Dockerfile', 'TypeScript']","{'Dockerfile': 0.879127358490566, 'TypeScript': 0.12087264150943396}"
