Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
julycoding,The-Art-Of-Programming-By-July-2nd,21079,https://github.com/julycoding/The-Art-Of-Programming-By-July-2nd,2013-12-14,1,7175,"['C', 'Python', 'Java', 'C++', 'JavaScript', 'Ruby', 'Go', 'PHP', 'Rebol', 'Erlang', 'TeX', 'Scheme', 'Makefile', 'HTML', 'CSS']","{'C': 0.49180093364687494, 'Python': 0.11035943311306338, 'Java': 0.09037464499787173, 'C++': 0.06905707247974656, 'JavaScript': 0.047886036466655964, 'Ruby': 0.043517853030863377, 'Go': 0.03095409220635131, 'PHP': 0.030727309519988276, 'Rebol': 0.028114075180205013, 'Erlang': 0.018990433259599884, 'TeX': 0.012696341471924303, 'Scheme': 0.011513582538430944, 'Makefile': 0.007926927129489425, 'HTML': 0.004490297189988068, 'CSS': 0.0015909677689468211}"
learn-co-curriculum,phase-0-javascript-events-event-listening-lab,7,https://github.com/learn-co-curriculum/phase-0-javascript-events-event-listening-lab,2021-01-13,2,7625,"['JavaScript', 'HTML']","{'JavaScript': 0.5391849529780565, 'HTML': 0.4608150470219436}"
JeffLi1993,springboot-learning-example,15749,https://github.com/JeffLi1993/springboot-learning-example,2017-02-06,30,7128,"['Java', 'HTML', 'FreeMarker', 'CSS']","{'Java': 0.8951033617793838, 'HTML': 0.10253295561188244, 'FreeMarker': 0.001289281422945701, 'CSS': 0.0010744011857880841}"
linlinjava,litemall,18462,https://github.com/linlinjava/litemall,2018-03-22,2,7128,"['Java', 'JavaScript', 'Vue', 'SCSS', 'CSS', 'Shell', 'HTML', 'Dockerfile']","{'Java': 0.7250350973514273, 'JavaScript': 0.17642311381724032, 'Vue': 0.09167523421736294, 'SCSS': 0.003129551988215055, 'CSS': 0.0022047326576230936, 'Shell': 0.001283026580223224, 'HTML': 0.00021811085598713383, 'Dockerfile': 3.113253192091751e-05}"
apache,zookeeper,11616,https://github.com/apache/zookeeper,2009-03-27,26,7127,"['Java', 'C++', 'C', 'JavaScript', 'TLA', 'Python', 'Perl', 'Shell', 'XS', 'M4', 'HTML', 'CSS', 'Mako', 'Makefile', 'CMake', 'Batchfile', 'XSLT', 'Dockerfile']","{'Java': 0.7425825898407717, 'C++': 0.07376803073679214, 'C': 0.06527865903953037, 'JavaScript': 0.025650532374543657, 'TLA': 0.0225346704638027, 'Python': 0.016983839430358874, 'Perl': 0.016075497042895206, 'Shell': 0.012126277271981777, 'XS': 0.007140066208945581, 'M4': 0.005408142030054755, 'HTML': 0.0045479519811983315, 'CSS': 0.0023831767584989658, 'Mako': 0.001425226022189388, 'Makefile': 0.0012123365251504449, 'CMake': 0.0010955437038633255, 'Batchfile': 0.0010538394105987353, 'XSLT': 0.0006265004055508518, 'Dockerfile': 0.00010712075327313701}"
learn-co-curriculum,phase-0-the-dom-modifying-elements-lab,3,https://github.com/learn-co-curriculum/phase-0-the-dom-modifying-elements-lab,2021-01-11,2,7581,"['JavaScript', 'HTML']","{'JavaScript': 0.8549534756431308, 'HTML': 0.14504652435686918}"
lodash,lodash,57812,https://github.com/lodash/lodash,2012-04-07,8,7114,"['JavaScript', 'TypeScript', 'Shell']","{'JavaScript': 0.6504804650741186, 'TypeScript': 0.34939337955292404, 'Shell': 0.00012615537295733426}"
facebookresearch,detectron2,27052,https://github.com/facebookresearch/detectron2,2019-09-05,13,7112,"['Python', 'Cuda', 'C++', 'Shell', 'Dockerfile', 'CMake']","{'Python': 0.9398700487189141, 'Cuda': 0.03217026158291757, 'C++': 0.022755429683962176, 'Shell': 0.0041148770691867825, 'Dockerfile': 0.0009139424498214551, 'CMake': 0.00017544049519788605}"
Superalgos,Superalgos,3583,https://github.com/Superalgos/Superalgos,2019-08-12,15,7107,"['JavaScript', 'C++', 'Jupyter Notebook', 'Python', 'Vue', 'CSS', 'Java', 'HTML', 'Shell', 'Inno Setup', 'CMake', 'PowerShell', 'Dockerfile', 'Batchfile', 'Ruby']","{'JavaScript': 0.8003230339238985, 'C++': 0.11073695409940325, 'Jupyter Notebook': 0.031901064896523355, 'Python': 0.015281957280877223, 'Vue': 0.015056151629227538, 'CSS': 0.010465746653383406, 'Java': 0.009722094769104303, 'HTML': 0.003751847750487057, 'Shell': 0.001146188650681482, 'Inno Setup': 0.0008252683848753742, 'CMake': 0.000395107572117334, 'PowerShell': 0.00021659763619779696, 'Dockerfile': 0.0001437706048965087, 'Batchfile': 2.877504828714694e-05, 'Ruby': 5.441100039751421e-06}"
usaweili,clash_for_windows_pkg,5,https://github.com/usaweili/clash_for_windows_pkg,2018-10-20,1,7100,[],{}
cocos2d,cocos2d-x,17566,https://github.com/cocos2d/cocos2d-x,2010-11-18,7,7102,"['C++', 'Lua', 'C', 'Objective-C++', 'Java', 'Python', 'Objective-C', 'CMake', 'GLSL', 'PLSQL', 'Shell', 'Makefile', 'Csound Document', 'PowerShell', 'Batchfile', 'AIDL', 'HTML']","{'C++': 0.8568704972721796, 'Lua': 0.055101872671995435, 'C': 0.02635442270920433, 'Objective-C++': 0.020770076399375368, 'Java': 0.013089590355472904, 'Python': 0.007148439361149215, 'Objective-C': 0.00640884494158483, 'CMake': 0.006351552155822183, 'GLSL': 0.005081722244796401, 'PLSQL': 0.0009859533983437654, 'Shell': 0.0009020102264295909, 'Makefile': 0.00033137408023363034, 'Csound Document': 0.00030416924776827044, 'PowerShell': 0.0002028534246873579, 'Batchfile': 8.390620882658571e-05, 'AIDL': 9.536476597911505e-06, 'HTML': 3.178825532637168e-06}"
arduino,Arduino,13799,https://github.com/arduino/Arduino,2010-09-17,7,7102,"['Java', 'Python', 'Shell', 'Perl', 'JavaScript']","{'Java': 0.6970621325246918, 'Python': 0.29432624113475175, 'Shell': 0.004588690260643135, 'Perl': 0.003346150337655732, 'JavaScript': 0.0006767857422575066}"
sdmg15,Best-websites-a-programmer-should-visit,52611,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,2017-03-05,4,7092,[],{}
gothinkster,realworld,76708,https://github.com/gothinkster/realworld,2016-02-26,19,7087,"['TypeScript', 'MDX', 'CSS', 'HTML', 'JavaScript', 'Shell', 'Procfile']","{'TypeScript': 0.8674747969470634, 'MDX': 0.061494938982082366, 'CSS': 0.055102342761519936, 'HTML': 0.010379678380474266, 'JavaScript': 0.003910554671237908, 'Shell': 0.0013800457124199012, 'Procfile': 0.00025764254520223664}"
jgraph,drawio,36502,https://github.com/jgraph/drawio,2016-09-06,5,7082,"['JavaScript', 'Java', 'CSS', 'HTML']","{'JavaScript': 0.9827896882576947, 'Java': 0.00995044359006687, 'CSS': 0.005056906661679858, 'HTML': 0.0022029614905585532}"
photonstorm,phaser,35459,https://github.com/photonstorm/phaser,2013-04-12,8,7081,"['JavaScript', 'GLSL', 'TypeScript']","{'JavaScript': 0.9952753919840444, 'GLSL': 0.002382420952084672, 'TypeScript': 0.0023421870638709384}"
learn-co-curriculum,phase-0-pac-3-arithmetic-lab,3,https://github.com/learn-co-curriculum/phase-0-pac-3-arithmetic-lab,2020-12-29,2,7328,"['JavaScript', 'HTML']","{'JavaScript': 0.7633242999096658, 'HTML': 0.23667570009033423}"
